segment_id,BEAS-2B half life (h),BEAS-2B log2 steady state mRNA,Jurkat log2 steady state mRNA,WiDr log2 steady state mRNA
CN1_000001,2.00,-0.136,-0.284,-0.791
CN1_000002,1.83,-0.196,-0.304,-1.022
CN1_000003,1.93,0.042,-0.623,-0.982
CN1_000004,2.13,0.188,-0.141,-0.250
CN1_000005,3.00,0.155,0.182,-0.031
CN1_000006,1.81,-0.435,-0.609,-1.446
CN1_000007,2.01,-0.240,-0.672,-1.203
CN1_000008,2.70,-0.613,-0.783,-1.639
CN1_000009,2.46,-0.911,-1.276,-2.370
CN1_000010,2.44,-0.206,-0.496,-0.451
CN1_000011,2.94,0.372,0.774,1.123
CN1_000012,1.51,-0.926,-0.970,-1.329
CN1_000013,2.64,0.446,0.477,1.003
CN1_000014,nd,nd,nd,nd
CN1_000015,nd,0.363,-0.118,1.289
CN1_000016,nd,0.256,1.088,2.095
CN1_000017,2.06,-0.562,-0.707,-1.348
CN1_000018,3.07,0.345,0.724,1.768
CN1_000019,2.51,0.062,-0.316,-0.720
CN1_000020,2.35,-0.058,-0.316,-0.310
CN1_000021,1.83,-0.530,-0.514,-1.104
CN1_000022,2.15,0.184,0.880,1.341
CN1_000023,nd,-0.311,0.351,1.837
CN1_000024,nd,0.251,-0.005,0.420
CN1_000025,nd,-0.607,0.176,-0.379
CN1_000026,nd,-0.850,-0.337,-0.298
CN1_000027,1.89,-0.325,-0.094,-0.120
CN1_000028,2.54,0.162,0.052,-0.539
CN1_000029,nd,nd,nd,nd
CN1_000030,2.57,-0.070,-0.225,-0.419
CN1_000031,nd,-1.180,-0.787,-1.132
CN1_000032,1.93,-0.314,-0.540,-1.323
CN1_000033,2.22,-0.309,-0.338,-0.838
CN1_000034,2.70,-0.343,-0.153,-0.357
CN1_000035,nd,-0.422,nd,-2.359
CN1_000036,2.14,-0.644,-0.586,-1.721
CN1_000037,2.27,-0.980,-1.389,-2.330
CN1_000038,3.27,-0.190,-0.056,1.004
CN1_000039,3.57,-0.686,-0.532,-0.451
CN1_000040,2.39,-0.804,-0.390,-0.743
CN1_000041,2.00,-0.095,-0.152,-0.564
CN1_000042,nd,-0.091,-0.024,2.226
CN1_000043,2.37,0.302,0.295,0.503
CN1_000044,1.98,-0.244,-0.503,-1.524
CN1_000045,2.71,0.238,-0.072,-0.569
CN1_000046,nd,0.129,0.358,1.012
CN1_000047,nd,nd,nd,2.012
CN1_000048,1.60,-0.513,-0.920,-1.760
CN1_000049,2.33,-0.166,-0.573,-0.598
CN1_000050,2.50,0.041,0.192,0.158
CN1_000051,1.93,-0.328,0.106,0.022
CN1_000052,1.85,-0.698,-0.693,-1.562
CN1_000053,2.17,-0.483,-0.861,-1.054
CN1_000054,2.68,0.140,-0.057,0.355
CN1_000055,2.52,0.197,-0.428,-0.650
CN1_000056,nd,0.648,0.547,0.944
CN1_000057,2.39,nd,nd,nd
CN1_000058,3.33,-1.955,-2.140,-2.226
CN1_000059,2.56,nd,nd,nd
CN1_000060,1.83,-0.434,-0.431,-1.437
CN1_000061,1.89,-0.617,-0.731,-0.962
CN1_000062,2.29,-0.053,-0.815,-1.146
CN1_000063,2.06,-0.196,-0.382,-0.666
CN1_000064,3.12,-1.285,-2.206,-2.558
CN1_000065,1.72,-0.728,-0.928,-1.448
CN1_000066,2.09,0.069,-0.274,-0.277
CN1_000067,1.19,-1.450,-1.066,-2.725
CN1_000068,2.80,-1.446,-1.067,-0.331
CN1_000069,2.15,0.052,-0.232,-0.193
CN1_000070,nd,0.210,-0.216,0.244
CN1_000071,2.62,0.362,0.062,0.048
CN1_000072,1.92,-0.404,-0.325,-1.154
CN1_000073,nd,-0.414,-0.427,0.095
CN1_000074,2.89,0.574,0.584,0.950
CN1_000075,nd,-0.585,0.602,0.729
CN1_000076,2.19,-1.051,-0.558,-0.456
CN1_000077,nd,0.538,0.547,2.292
CN1_000078,nd,-0.412,nd,nd
CN1_000079,nd,0.634,0.975,1.655
CN1_000080,3.66,0.489,0.562,0.614
CN1_000081,nd,0.579,2.186,3.998
CN1_000082,2.85,0.537,0.137,-0.522
CN1_000083,nd,-0.062,-0.295,-0.252
CN1_000084,1.91,-0.274,-0.363,-0.819
CN1_000085,1.67,-1.569,-1.352,-1.599
CN1_000086,nd,nd,nd,nd
CN1_000087,nd,0.432,0.000,0.478
CN1_000088,2.96,0.296,0.243,0.619
CN1_000089,nd,0.419,1.024,1.391
CN1_000090,2.98,0.470,0.555,0.033
CN1_000091,3.01,0.210,0.642,1.200
CN1_000092,2.15,-0.225,-0.032,0.218
CN1_000093,3.07,0.402,0.118,0.214
CN1_000094,2.60,0.087,-0.480,0.518
CN1_000095,2.36,0.006,-0.027,-0.258
CN1_000096,2.37,-0.605,0.181,0.026
CN1_000097,nd,0.214,0.952,1.247
CN1_000098,2.11,-0.137,-0.182,-0.301
CN1_000099,2.25,-0.001,0.058,0.190
CN1_000100,2.89,0.500,0.272,0.400
CN1_000101,nd,nd,nd,nd
CN1_000102,nd,0.081,1.793,2.370
CN1_000103,nd,0.359,0.066,0.475
CN1_000104,nd,-0.097,0.812,0.864
CN1_000105,3.09,0.389,1.010,1.847
CN1_000106,3.05,-0.047,0.059,0.247
CN1_000107,2.74,-0.032,-0.798,-0.966
CN1_000108,1.95,-0.814,-0.661,-1.908
CN1_000109,1.80,-0.330,-0.945,-1.684
CN1_000110,2.86,0.018,0.103,-0.311
CN1_000111,2.16,-0.352,-0.665,-0.608
CN1_000112,2.03,-0.555,-0.843,-1.109
CN1_000113,2.39,-0.175,-0.634,-1.172
CN1_000114,1.85,-0.662,-0.475,-0.963
CN1_000115,1.94,-0.242,-0.203,-1.334
CN1_000116,1.94,-0.194,-0.174,-1.084
CN1_000117,2.91,0.285,0.184,0.144
CN1_000118,2.38,-0.193,-0.306,-0.782
CN1_000119,nd,-0.188,0.647,1.082
CN1_000120,nd,0.262,1.037,1.890
CN1_000121,2.01,-0.052,-0.133,-0.747
CN1_000122,2.70,0.111,-0.332,-1.352
CN1_000123,1.93,-0.243,-0.203,-1.012
CN1_000124,1.98,-0.089,0.116,-0.155
CN1_000125,3.03,-0.749,-1.484,-1.195
CN1_000126,2.33,-0.086,-0.287,-0.730
CN1_000127,2.95,0.299,0.084,-0.408
CN1_000128,2.14,-0.058,-0.393,-0.942
CN1_000129,1.80,-0.169,-0.477,-0.771
CN1_000130,2.73,0.004,0.341,0.225
CN1_000131,2.21,-0.068,0.123,0.128
CN1_000133,2.71,0.083,0.097,0.428
CN1_000134,1.82,-0.324,-0.305,-0.085
CN1_000135,2.73,0.074,-0.073,-0.008
CN1_000136,nd,0.543,1.667,3.006
CN1_000137,2.09,nd,nd,nd
CN1_000138,2.97,0.585,0.156,0.769
CN1_000139,1.88,-0.038,-0.717,-1.601
CN1_000140,3.73,0.533,0.344,0.683
CN1_000141,1.81,-0.145,-0.744,-0.597
CN1_000142,nd,-0.854,-1.076,-0.860
CN1_000143,nd,nd,nd,nd
CN1_000144,nd,nd,nd,nd
CN1_000145,nd,0.045,0.462,1.357
CN1_000146,nd,nd,nd,nd
CN1_000147,2.20,-0.365,-0.574,-1.289
CN1_000148,2.09,-0.421,-0.711,-1.910
CN1_000149,1.90,-0.317,-0.627,-1.378
CN1_000150,2.87,0.829,-0.263,-0.497
CN1_000151,2.20,-0.044,-0.361,-0.589
CN1_000152,2.89,-0.273,0.605,-0.047
CN1_000153,1.74,-0.499,-0.819,-1.487
CN1_000154,nd,0.266,0.313,0.396
CN1_000155,2.17,0.331,0.482,0.190
CN1_000156,2.90,-0.068,-0.100,0.237
CN1_000157,2.81,0.574,0.286,-0.299
CN1_000158,1.36,-0.987,-0.385,-0.624
CN1_000159,2.58,0.297,0.019,-0.044
CN1_000160,2.78,-0.260,0.718,0.532
CN1_000161,nd,0.305,-0.780,-1.328
CN1_000162,nd,nd,nd,nd
CN1_000163,2.91,0.089,0.086,-0.651
CN1_000164,2.69,0.171,0.321,0.588
CN1_000165,1.81,-0.245,-0.585,-1.177
CN1_000166,2.05,-1.776,-2.737,-2.462
CN1_000167,2.39,-0.246,0.863,0.773
CN1_000168,2.12,-0.119,-0.197,-0.515
CN1_000169,1.81,-0.473,-0.704,-1.997
CN1_000170,2.34,0.087,-0.103,-0.437
CN1_000171,2.22,-0.309,-0.662,-1.312
CN1_000172,2.48,0.126,-0.106,-0.564
CN1_000173,1.90,0.083,-0.642,-1.206
CN1_000174,2.42,0.083,-0.871,-0.849
CN1_000175,2.02,0.098,-0.287,-0.445
CN1_000176,1.86,-0.395,-0.811,-1.687
CN1_000177,1.96,-0.128,-0.461,-0.930
CN1_000178,2.12,-0.517,-0.922,-1.562
CN1_000179,1.99,-1.004,-0.992,-1.966
CN1_000180,1.68,-0.495,-1.173,-2.068
CN1_000181,2.46,-1.129,-1.730,-3.119
CN1_000182,2.00,-0.133,-0.305,-0.882
CN1_000183,1.59,-1.016,-0.280,-0.893
CN1_000184,3.34,-1.302,-0.839,0.079
CN1_000185,nd,-0.318,-0.856,-0.806
CN1_000186,2.65,0.316,0.713,0.776
CN1_000187,2.13,0.204,0.344,0.247
CN1_000188,nd,0.123,-0.332,-0.016
CN1_000189,nd,-0.353,0.167,0.576
CN1_000190,1.67,-0.315,-0.638,-1.527
CN1_000191,3.00,-0.178,-0.156,-0.293
CN1_000192,2.50,-0.245,-0.393,0.082
CN1_000193,1.59,-0.201,-0.026,0.428
CN1_000194,2.14,0.221,0.062,-0.300
CN1_000195,3.61,0.389,0.528,1.095
CN1_000196,nd,0.201,-0.636,1.309
CN1_000197,3.00,-4.615,-3.562,-3.820
CN1_000198,2.52,-0.004,-0.010,-0.367
CN1_000199,3.25,0.604,0.801,1.647
CN1_000200,nd,0.071,0.746,1.376
CN1_000201,nd,nd,nd,nd
CN1_000202,2.34,0.053,0.254,0.166
CN1_000203,2.89,0.321,0.143,-0.061
CN1_000204,2.62,0.025,0.187,-0.186
CN1_000205,1.93,-0.192,-0.328,-0.678
CN1_000206,2.09,-0.039,-0.080,-0.181
