#name	chrom	strand	txStart	txEnd	exonEnds	exonStarts
NCKAP5	chr2	-	133429372	134326031	133430878,133483332,133486525,133489624,133531467,133538802,133543291,133547778,133554302,133618184,133626547,133636489,133721442,133751812,133887683,133971351,134060682,134275158,134316688,	133483200,133486389,133489310,133531389,133538625,133539513,133547596,133554201,133618065,133626509,133636421,133721293,133751725,133887550,133971288,134060609,134275029,134316621,134325787,
SPATS2L	chr2	+	201170616	201343253	201171015,201194203,201254006,201277142,201281151,201284219,201304051,201305507,201324550,201332122,201334739,201337775,	201194154,201253946,201277034,201281102,201283973,201303845,201305372,201324492,201332013,201334637,201337555,201342359,
FAM49A	chr2	-	16730727	16847102	16734267,16736407,16740854,16742337,16742545,16742801,16743409,16745362,16747035,16769397,16805287,	16736337,16740728,16742258,16742429,16742724,16743273,16745257,16746914,16769318,16805132,16847048,
LTBP1	chr2	+	33172039	33624426	33172885,33174012,33246273,33335818,33360027,33412147,33413918,33442721,33447218,33468851,33477911,33482578,33484677,33487888,33488459,33498848,33500157,33500990,33505225,33518349,33525640,33526711,33534623,33540336,33568030,33572577,33585846,33586582,33588585,33589423,33590570,33614373,33622349,	33173942,33245976,33335649,33359860,33411923,33413644,33442619,33447147,33468729,33477744,33482351,33484655,33487789,33488361,33498723,33500032,33500868,33505106,33518227,33525518,33526589,33534501,33540211,33567905,33572434,33585664,33586496,33588457,33589283,33590400,33614251,33622200,33623431,
NRXN1	chr2	-	50148877	51259338	50149389,50170929,50280728,50282182,50318632,50464108,50692699,50699609,50723233,50724852,50733755,50755789,50758568,50765774,50780163,50847321,50848387,50850753,51149018,51149825,51153093,51256332,	50170842,50280409,50282093,50318461,50463927,50692580,50699436,50723043,50724471,50733633,50755763,50758365,50765391,50779725,50847160,50848364,50850452,51149007,51149796,51153076,51254640,51259119,
AFF3	chr2	-	100167583	100722590	100168057,100170996,100171194,100175430,100176898,100182085,100185377,100194913,100199461,100203740,100210751,100218083,100266128,100289051,100343590,100360602,100368763,100453986,100623479,100623922,100625394,100628033,100720980,100722045,	100170773,100171145,100175337,100176827,100181949,100185314,100194789,100199260,100203616,100209657,100217897,100266088,100289000,100343539,100360566,100368683,100453939,100623094,100623610,100625274,100627959,100720864,100721966,100722502,
LRP1B	chr2	-	140988992	142889270	140990895,140992453,140995865,140997101,141004731,141027915,141032167,141055538,141072668,141079657,141081635,141083447,141092128,141093407,141108607,141110641,141114045,141115685,141116515,141122352,141128411,141128854,141130706,141135855,141143578,141200192,141202018,141202248,141208230,141214172,141215220,141232906,141243093,141245308,141250262,141253317,141259443,141260672,141264487,141267625,141272341,141274580,141283562,141283919,141291709,141294278,141298667,141299540,141356404,141359208,141458190,141459414,141459861,141460122,141473671,141474385,141526913,141528575,141533807,141571375,141597654,141598661,141607898,141609352,141625403,141625832,141641590,141643904,141660734,141665646,141680716,141707971,141709509,141739845,141747226,141751704,141763026,141771314,141773484,141777671,141806791,141812828,141816623,141819842,141946152,141987009,142004923,142012210,142238102,142567970,	140992355,140995721,140997011,141004655,141027811,141031993,141055377,141072504,141079532,141081462,141083331,141092022,141093184,141108366,141110522,141113911,141115548,141116390,141122230,141128279,141128748,141130577,141135749,141143462,141200073,141201899,141202132,141208137,141214024,141215032,141232707,141242912,141245186,141250177,141253134,141259256,141260532,141264365,141267497,141272222,141274458,141283413,141283806,141291590,141294150,141298542,141299348,141356200,141359019,141457819,141459290,141459710,141459996,141473542,141474251,141526782,141528450,141533667,141571226,141597560,141598487,141607671,141609221,141625159,141625668,141641386,141643707,141660489,141665446,141680534,141707804,141709429,141739729,141747101,141751564,141762904,141771125,141773265,141777491,141806555,141812685,141816452,141819620,141945990,141986752,142004795,142012091,142237965,142567848,142888217,
PKP4	chr2	+	159313624	159537941	159313730,159389828,159433895,159459616,159477633,159477933,159481939,159488453,159490801,159497271,159499211,159514826,159517962,159519600,159519957,159523075,159526427,159530273,159530512,159533379,159535166,	159389692,159433783,159459582,159477502,159477743,159481390,159488265,159490582,159497139,159498998,159514643,159517845,159519409,159519784,159522925,159526232,159530189,159530395,159533251,159535093,159536941,
XIRP2	chr2	+	167744997	168116263	167745067,167760400,167992572,168067405,168074810,168096475,168097246,168098420,168108457,168110675,	167759975,167992419,168067245,168074676,168096365,168097174,168098287,168099079,168110542,168114367,
TMEFF2	chr2	-	192814743	193060435	192815133,192818563,192821104,192863047,192863934,192922501,193044420,193049209,193056715,	192818405,192820981,192862988,192863786,192922405,193044394,193049080,193056606,193059079,
